Date,Open,High,Low,Close,Volume
2024-07-02,1557.9687,1561.9393,1545.5606,1553.6755,7749246
2024-07-03,1554.8171,1563.4284,1531.4402,1541.0193,9049620
2024-07-04,1545.5607,1555.9835,1539.4063,1542.6075,6837176
2024-07-05,1542.4089,1586.7557,1536.6267,1576.9532,12269710
2024-07-08,1577.3255,1596.98,1570.8981,1589.1381,9500806
2024-07-09,1585.8623,1588.741,1568.888,1578.5912,6960002
2024-07-10,1583.2814,1585.7631,1551.6655,1572.5856,7134578
2024-07-11,1575.8365,1592.4634,1558.9614,1569.0369,11940946
2024-07-12,1572.8586,1593.3569,1562.9321,1584.9938,12924784
2024-07-15,1592.662,1594.0517,1573.8513,1585.4901,5329688
2024-07-16,1581.7925,1588.2447,1557.5965,1564.6692,9386838
2024-07-18,1564.4211,1582.1896,1546.3796,1575.0177,12298374
2024-07-19,1574.3476,1578.2933,1541.3915,1543.7242,13140390
2024-07-22,1525.9558,1526.2039,1488.2598,1489.6495,19674376
2024-07-23,1489.972,1494.6871,1452.2512,1476.9683,18052044
2024-07-24,1474.0896,1498.4096,1465.5528,1484.7109,11913362
2024-07-25,1470.119,1489.4509,1466.2228,1481.4353,12519876
2024-07-26,1481.4353,1501.3132,1479.4003,1497.9381,9859940
2024-07-29,1500.8415,1516.2773,1500.6679,1508.9316,7538550
2024-07-30,1505.8794,1513.7958,1498.906,1502.0328,8228208
2024-07-31,1492.9499,1499.3525,1490.1209,1494.3645,10057346
2024-08-01,1500.8913,1506.8472,1493.2479,1504.1671,10764222
2024-08-02,1493.9427,1498.2359,1482.3038,1488.3093,10268248
2024-08-05,1469.1264,1472.9978,1422.7199,1436.6914,17046704
2024-08-06,1444.4589,1466.6447,1440.6619,1445.3523,10236186
2024-08-07,1458.2071,1461.6814,1450.7622,1454.0627,8174568
2024-08-08,1446.8165,1454.2365,1435.3017,1438.4781,12387192
2024-08-09,1449.2733,1465.652,1445.3027,1463.4683,6249776
2024-08-12,1459.1998,1462.1778,1447.0398,1449.8937,8184584
2024-08-13,1450.0178,1459.2743,1447.288,1452.8717,6265064
2024-08-14,1452.7972,1461.1851,1443.0195,1451.1096,6267466
2024-08-16,1457.8598,1469.5235,1447.3377,1467.3396,9416902
2024-08-19,1476.6026,1492.3398,1474.6105,1482.4791,13797742
2024-08-20,1491.269,1497.9424,1484.0977,1489.999,8411808
2024-08-21,1487.3098,1501.8766,1484.0727,1492.7133,7769996
2024-08-22,1497.021,1500.5071,1484.7202,1492.1654,10445782
2024-08-23,1497.7681,1505.3129,1492.4643,1494.0081,9249654
2024-08-26,1500.9803,1516.9415,1497.0211,1506.5829,8816114
2024-08-27,1504.4913,1507.4544,1493.4852,1494.4812,6251156
2024-08-28,1499.0131,1501.4783,1487.0609,1492.3398,9610286
2024-08-29,1497.1206,1530.8858,1488.0568,1514.8748,38335358
2024-08-30,1527.8978,1533.6,1497.3448,1503.6198,41620730
2024-09-02,1504.8648,1520.7265,1500.6317,1510.2184,11240852
2024-09-03,1515.1985,1516.9415,1501.5032,1503.1217,10923800
2024-09-04,1494.7301,1511.4634,1493.535,1508.5251,11983304
2024-09-05,1513.0072,1519.7055,1481.1345,1487.0359,16264168
2024-09-06,1486.5628,1491.0449,1455.8106,1458.9978,19394228
2024-09-09,1460.6663,1464.0777,1449.8096,1456.6323,9010298
2024-09-10,1454.6901,1466.1942,1451.7767,1455.7111,10768260
2024-09-11,1457.2301,1462.9073,1441.7917,1445.726,9760202
2024-09-12,1451.204,1480.0886,1440.1232,1473.9133,22349376
2024-09-13,1470.5269,1477.25,1463.6543,1466.7668,8711328
2024-09-16,1471.6724,1475.009,1458.9232,1465.4969,5481774
2024-09-17,1468.1364,1471.5976,1460.7908,1466.4432,5935328
2024-09-18,1464.1523,1476.1046,1454.7399,1457.6283,8574714
2024-09-19,1460.4172,1470.6264,1449.7598,1463.8286,16955902
2024-09-20,1468.1364,1489.0529,1465.5219,1480.014,30897320
2024-09-23,1485.0688,1495.527,1483.0269,1487.4343,8832314
2024-09-24,1482.5787,1494.5309,1481.9562,1483.4502,17137444
2024-09-25,1477.997,1490.5469,1474.3117,1488.007,7069002
2024-09-26,1484.7202,1498.0171,1482.1306,1491.9911,18818998
2024-09-27,1493.0369,1527.3748,1486.0648,1520.1039,20597478
2024-09-30,1513.3559,1518.9087,1468.5349,1470.7012,27008814
2024-10-01,1474.7599,1482.0308,1457.0058,1458.9978,16431642
2024-10-03,1430.8603,1443.6343,1396.4975,1401.3781,37757294
2024-10-04,1398.3402,1411.7117,1376.2783,1381.0094,37072876
2024-10-07,1387.9566,1390.9447,1355.9594,1365.2722,22181340
2024-10-08,1367.5132,1395.4268,1359.6696,1391.7913,17020808
