Date,Open,High,Low,Close,Volume
2024-05-29,1379.6519,1379.746,1365.153,1366.0474,7401634
2024-05-30,1358.3744,1365.0118,1338.3678,1343.9225,9663150
2024-05-31,1353.862,1379.7426,1344.4508,1351.077,37113815
2024-06-03,1382.8637,1382.8637,1348.2921,1350.1167,10589244
2024-06-04,1353.0936,1358.8555,1304.4533,1338.3527,13736134
2024-06-05,1344.5947,1380.9429,1344.5947,1373.3563,9233424
2024-06-06,1387.6171,1415.8027,1380.4628,1413.834,12660930
2024-06-07,1422.2368,1478.6077,1418.6356,1472.7498,24075302
2024-06-10,1464.7791,1469.1005,1437.8901,1440.2428,6810606
2024-06-11,1440.5309,1446.6769,1434.6729,1436.4015,4853054
2024-06-12,1447.2052,1448.8858,1423.9174,1426.2701,9564320
2024-06-13,1435.6814,1445.2846,1430.2555,1434.673,7307565
2024-06-14,1444.0361,1444.0361,1427.0865,1429.8234,4237727
2024-06-18,1437.6019,1447.2052,1436.0654,1438.7543,5420939
2024-06-19,1445.2845,1455.512,1437.3138,1451.3826,5493456
2024-06-20,1456.1362,1457.2885,1439.6186,1455.2719,7927010
2024-06-21,1483.6975,1495.9416,1463.2426,1471.8855,17301941
2024-06-24,1464.0589,1468.4282,1455.2719,1466.5557,5564989
2024-06-25,1465.4513,1482.6411,1460.0255,1480.7684,4551525
2024-06-26,1479.8561,1487.3946,1474.0942,1479.568,4851004
2024-06-27,1477.4072,1515.7722,1471.2613,1510.9225,14757754
2024-06-28,1510.1543,1525.4714,1502.1835,1504.5844,8197544
2024-07-01,1497.6221,1536.4191,1497.6221,1527.6802,6801771
2024-07-02,1532.866,1568.9742,1523.5509,1556.7301,10493173
2024-07-03,1560.5232,1571.0867,1542.2771,1562.828,7269965
2024-07-04,1563.5962,1594.1345,1563.4042,1585.1555,8008311
2024-07-05,1585.9237,1599.7523,1568.5419,1582.0824,7065022
2024-07-08,1577.905,1599.8964,1574.928,1595.719,5880533
2024-07-09,1594.0385,1600.6167,1585.4916,1591.3976,5191182
2024-07-10,1591.2535,1607.579,1572.5753,1582.8507,9852770
2024-07-11,1590.2933,1598.9362,1576.8968,1587.1241,8857679
2024-07-12,1613.341,1651.5138,1600.5207,1643.8312,17078316
2024-07-15,1657.7077,1659.4363,1635.0922,1639.3176,6942230
2024-07-16,1650.4093,1668.9435,1632.5473,1657.5637,6886281
2024-07-18,1650.7934,1695.3524,1650.7934,1688.2941,11248896
2024-07-19,1770.8337,1770.8337,1715.5671,1721.8092,29819116
2024-07-22,1728.7235,1750.6668,1721.8091,1738.9989,8462126
2024-07-23,1738.1828,1766.9444,1712.4942,1764.0155,7113056
2024-07-24,1764.5916,1769.2491,1747.4018,1761.1824,6002845
